,IMBD title ID,Original titlÊ,Release year,Genrë¨,Duration,Country,Content Rating,Director,Income, Votes ,Score
61,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-03-04,Comedy,01:35,UK,PG,Stanley Kubrick,9443876,441115.0,8.1
62,tt0047396,Rear Window,1955-04-14,"Mystery, Thriller",01:52,USA,PG,Alfred Hitchcock,37032034,43239.0,8.1
63,tt2380307,Coco,2017-12-28,"Animation, Adventure, Family",01:45,USA,PG,"Lee Unkrich, Adrian Molina",807083670,352455.0,8.1
64,tt0405094,Das Leben der Anderen,2007-06-04,"Drama, Mystery, Thriller",02:17,Germany,R,Florian Henckel von Donnersmarck,77356942,349642.0,8.1
65,tt4633694,Spider-Man: Into the Spider-Verse,2018-12-25,"Animation, Action, Adventure",01:57,USA,PG,"Bob Persichetti, Peter Ramsey",375540831,335892.0,8.1
66,tt1187043,3 Idiots,2009-12-25,"Comedy, Drama",02:50,India,PG,Rajkumar Hirani,60262836,332217.0,8.1
67,tt0119698,Mononoke-hime,2000-05-19,"Animation, Adventure, Fantasy",02:14,Japan,PG-13,Hayao Miyazaki,169785629,331045.0,8.0
68,tt0087843,Once Upon a Time in America,1984-09-28,"Crime, Drama",03:49,USA,R,Sergio Leone,5472914,302317.0,8.0
69,tt0032553,The Great Dictator,1945-06-25,"Comedy, Drama, War",02:05,USA,PG,Charles Chaplin,969879,197381.0,8.0
70,tt0043014,Sunset Blvd.,1951-06-03,"Drama, Film-Noir",01:50,USA,PG,Billy Wilder,299645,195789.0,8.0
71,tt0361748,Inglourious Basterds,2009-02-10,"Adventure, Drama, War",02:33,Germany,R,Quentin Tarantino,321455689,1229958.0,8.0
72,tt0169547,American Beauty,2000-01-21,Drama,02:02,USA,R,Sam Mendes,356296601,1049009.0,8.0
73,tt0112573,Braveheart,1995-01-12,"Biography, Drama, History",02:58,USA,R,Mel Gibson,213216216,941683.0,7.9
74,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983-10-21,"Action, Adventure, Fantasy",02:11,USA,PG,Richard Marquand,475347111,928036.0,7.9
75,tt0105236,Reservoir Dogs,1992-09-10,"Crime, Drama, Thriller",01:39,USA,R,Quentin Tarantino,2889963,896551.0,7.9
76,tt0338013,Eternal Sunshine of the Spotless Mind,2004-10-22,"Drama, Romance, Sci-Fi",01:48,USA,R,Michel Gondry,74036715,889875.0,7.9
77,tt0114709,Toy Story,1996-03-22,"Animation, Adventure, Comedy",01:21,USA,G,John Lasseter,404265438,864461.0,7.9
78,tt0119217,Good Will Hunting,1998-06-03,"Drama, Romance",02:06,USA,R,Gus Van Sant,225933435,837379.0,7.8
79,tt0208092,Snatch,2001-03-16,"Comedy, Crime",01:44,UK,R,Guy Ritchie,83557872,766589.0,7.8
80,tt0180093,Requiem for a Dream,2000-12-15,Drama,01:42,USA,R,Darren Aronofsky,7390108,748291.0,7.8
81,tt0066921,A Clockwork Orange,1972-07-09,"Crime, Drama, Sci-Fi",02:16,UK,PG,Stanley Kubrick,26903440,740301.0,7.8
82,tt0435761,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",01:43,USA,G,Lee Unkrich,1066969703,739717.0,7.8
83,tt0086250,Scarface,1984-02-24,"Crime, Drama",02:50,USA,R,Brian De Palma,66023585,721343.0,7.8
84,tt0075314,Taxi Driver,1976-12-24,"Crime, Drama",01:54,USA,R,Martin Scorsese,28441292,703264.0,7.7
85,tt0211915,Le fabuleux destin d'AmÃ©lie Poulain,2002-01-25,"Comedy, Romance",02:02,France,R,Jean-Pierre Jeunet,173924742,69048.0,7.7
86,tt0093058,Full Metal Jacket,1987-09-10,"Drama, War",01:56,UK,PG,Stanley Kubrick,46357676,658175.0,7.7
87,tt0090605,Aliens,1986-09-24,"Action, Adventure, Sci-Fi",02:17,USA,R,James Cameron,131384634,6395.0,7.7
88,tt0062622,2001: A Space Odyssey,1968-12-12,"Adventure, Sci-Fi",02:29,UK,G,Stanley Kubrick,68989547,587866.0,7.6
89,tt0033467,Citizen Kane,1948-11-25,"Drama, Mystery",01:59,USA,PG,Orson Welles,1594107,389322.0,7.6
90,tt8579674,1917,2020-01-23,"Drama, War",01:59,USA,PG,Sam Mendes,384857224,362897.0,7.6
91,tt0086879,Amadeus,1985-02-15,"Biography, Drama, History",02:40,USA,R,Milos Forman,52066791,361028.0,7.6
92,tt0052357,Vertigo,1958-11-18,"Mystery, Romance, Thriller",02:08,USA,PG,Alfred Hitchcock,7796389,352786.0,7.5
93,tt0053125,North by Northwest,1959-10-28,"Adventure, Mystery, Thriller",02:16,USA,PG,Alfred Hitchcock,73446,291628.0,7.5
94,tt2106476,Jagten,2012-11-22,Drama,01:55,Denmark,R,Thomas Vinterberg,15843274,269616.0,7.5
95,tt0056172,Lawrence of Arabia,1963-10-29,"Adventure, Biography, Drama",03:48,UK,PG,David Lean,45710874,261504.0,7.5
96,tt0070735,The Sting,1974-03-21,"Comedy, Crime, Drama",02:09,USA,PG,George Roy Hill,156000000,236285.0,7.5
97,tt0082096,Das Boot,1982-03-18,"Adventure, Drama, Thriller",02:29,West Germany,R,Wolfgang Petersen,11487676,226427.0,7.5
98,tt0059578,Per qualche dollaro in piÃ¹,1965-12-20,Western,02:12,Italy,PG,Sergio Leone,15000000,226039.0,7.4
99,tt1832382,Jodaeiye Nader az Simin,2011-10-21,Drama,02:03,Iran,PG-13,Asghar Farhadi,22926076,214165.0,7.4
100,tt0045152,Singin' in the Rain,1953-05-02,"Comedy, Musical, Romance",01:43,USA,PG,Stanley Donen,1864182,213152.0,7.4
